vehicle_type,edge_from,edge_to,observed_count,variance,n_member_gates,member_gate_indices,member_gates,n_time_periods
bus,4835465664,3923359389,1.0,1.0,1,249,cam_l2:gate_3,2
bus,4835579428,1112039402,0.5,1.0,1,264,cam_m5:gate_1,2
bus,4835601260,12212445468,1.0,6.0,6,221|222|223|224|225|226,cam_h3:gate_1|cam_h3:gate_2|cam_h3:gate_3|cam_h3:gate_4|cam_h3:gate_5|cam_h3:gate_6,2
bus,4837150620,594811098,0.0,1.0,2,216|217,cam_h1:gate_3|cam_h1:gate_44,2
bus,5107928522,4680466149,1.0,1.0,1,55,cam_c7:gate_1,2
bus,5108134366,1867311223,0.5,2.0,2,88|90,cam_d4:gate_1|cam_d4:gate_3,2
bus,5113848563,518263501,0.0,2.0,2,61|62,cam_c9:gate_3|cam_c9:gate_4,2
bus,5117524805,1449241548,2.0,2.0,2,123|124,cam_f5:gate_1|cam_f5:gate_2,2
bus,5173211471,5953028842,2.0,5.0,5,338|339|340|341|342,cam_p4:gate_1|cam_p4:gate_2|cam_p4:gate_3|cam_p4:gate_4|cam_p4:gate_5,2
bus,518263501,1846185769,0.0,2.0,2,63|64,cam_c9:gate_5|cam_c9:gate_6,2
bus,518263546,518263788,4.0,4.0,3,35|36|37,cam_c1:gate_1|cam_c1:gate_2|cam_c1:gate_3,2
bus,518263788,4835579428,3.0,4.0,4,265|269|270|271,cam_m5:gate_2|cam_m7:gate_1|cam_m7:gate_2|cam_m8:gate_1,2
bus,518264005,1936845018,1.0,1.0,1,16,cam_a4:gate_4,2
bus,518264005,1942810209,1.5,1.5,1,15,cam_a4:gate_3,2
bus,518455371,1846784987,2.0,4.5,4,149|150|152|153,cam_f12:gate_1|cam_f12:gate_2|cam_f12:gate_4|cam_f12:gate_5,2
bus,518455371,7026425344,2.0,2.5,2,148|151,cam_f11:gate_2|cam_f12:gate_3,2
bus,518463863,2917006396,0.5,1.0,1,100,cam_e3:gate_3,2
bus,518464523,1420845479,3.5,5.5,4,102|103|104|105,cam_e4:gate_1|cam_e4:gate_2|cam_e4:gate_3|cam_e4:gate_4,2
bus,5295497027,5995805805,1.0,4.0,4,280|281|282|283,cam_m12:gate_1|cam_m12:gate_2|cam_m12:gate_3|cam_m12:gate_4,2
bus,5295497334,4835553708,4.5,5.0,4,51|52|53|54,cam_c6:gate_1|cam_c6:gate_2|cam_c6:gate_3|cam_c6:gate_4,2
bus,5295497610,12533613033,1.5,2.0,2,295|296,cam_n2:gate_1|cam_n2:gate_2,2
bus,5455610066,3005526065,0.0,7.0,7,166|167|168|169|173|174|175,cam_f18:gate_1|cam_f18:gate_10|cam_f18:gate_2|cam_f18:gate_3|cam_f18:gate_4|cam_f18:gate_8|cam_f18:gate_9,2
